216,3233,0,,,,,,,3700,0.6167,0.8531,0.9437,,,,
277,3282,0,,,,,,,3725,0.6192,0.855,0.9448,,,,
85,3298,0,,,,,,,3750,0.6217,0.8569,0.9458,,,,
193,3400,0,,,,,,,3775,0.6241,0.8587,0.9469,,,,
223,3451,0,,,,,,,3800,0.6265,0.8605,0.9479,,,,
174,3654,0,,,,,,,3825,0.6289,0.8623,0.9489,,,,
172,3710,0,,,,,,,3850,0.6313,0.8641,0.9499,,,,
373,3769,0,,,,,,,3875,0.6337,0.8658,0.9509,,,,
264,3803,0,,,,,,,3900,0.6361,0.8676,0.9518,,,,
44,3899,0,,,,,,,3925,0.6384,0.8693,0.9527,,,,
94,3967,0,,,,,,,3950,0.6408,0.871,0.9536,,,,
377,4008,0,,,,,,,3975,0.6431,0.8726,0.9545,,,,
57,4230,0,,,,,,,4000,0.6454,0.8743,0.9554,,,,
85,4240,0,,,,,,,4025,0.6477,0.8759,0.9563,,,,
414,4242,0,,,,,,,4050,0.65,0.8775,0.9571,,,,
416,4300,0,,,,,,,4075,0.6522,0.8791,0.9579,,,,
269,4304,0,,,,,,,4100,0.6545,0.8806,0.9587,,,,
294,4308,0,,,,,,,4125,0.6567,0.8821,0.9595,,,,
416,4309,0,,,,,,,4150,0.6589,0.8837,0.9603,,,,
491,4417,0,,,,,,,4175,0.6611,0.8852,0.9611,,,,
222,4417,0,,,,,,,4200,0.6633,0.8866,0.9618,,,,
366,4418,0,,,,,,,4225,0.6655,0.8881,0.9626,,,,
216,4437,0,,,,,,,4250,0.6676,0.8895,0.9633,,,,
403,4463,0,,,,,,,4275,0.6698,0.891,0.964,,,,
,,,,,,,,,4300,0.6719,0.8924,0.9647,,,,
,,,,,,,,,4325,0.674,0.8938,0.9654,,,,
,,,,,,,,,4350,0.6761,0.8951,0.966,,,,
,,,,,,,,,4375,0.6782,0.8965,0.9667,,,,
,,,,,,,,,4400,0.6803,0.8978,0.9673,,,,
,,,,,,,,,4425,0.6824,0.8991,0.968,,,,
,,,,,,,,,4450,0.6844,0.9004,0.9686,,,,
,,,,,,,,,4475,0.6865,0.9017,0.9692,,,,
,,,,,,,,,4500,0.6885,0.903,0.9698,,,,
